title,cast,genre
Scales: Mermaids Are Real,"Emmy Perry, Morgan Fairchild, Elisabeth Röhm, Nikki Hahn, Jack Dylan Grazer, Stephen Snedden, Noree Victoria, Sterling Sulieman",Children & Family Movies
Scandal,"Kerry Washington, Columbus Short, Darby Stanchfield, Katie Lowes, Guillermo Díaz, Joshua Malina, Jeff Perry, Bellamy Young, Tony Goldwyn, Scott Foley","Crime TV Shows, TV Dramas"
Scandal in Sorrento,"Vittorio De Sica, Sophia Loren, Lea Padovani, Antonio Cifariello, Tina Pica, Mario Carotenuto, Yoka Berretty, Virgilio Riento, Clara Crispo, Pasquale Misiano","Classic Movies, Comedies, Independent Movies"
Scary Movie,"Anna Faris, Jon Abrahams, Shannon Elizabeth, Shawn Wayans, Regina Hall, Marlon Wayans, Lochlyn Munro, Cheri Oteri, Carmen Electra, Dave Sheridan, Kurt Fuller, Rick Ducommun, James Van Der Beek, Keenen Ivory Wayans, Marissa Jaret Winokur, Dan Joffre","Comedies, Horror Movies"
Scary Movie 5,"Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan, Gracie Whitton, Ava Kolker, Erica Ash, Lidia Porto, Katrina Bowden, Terry Crews","Comedies, Horror Movies"
Schindler's List,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Małgorzata Gebel, Shmulik Levy, Mark Ivanir, Beatrice Macola, Friedrich von Thun, Andrzej Seweryn","Classic Movies, Dramas"
School Daze,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Kyme, Joe Seneca, Ellen Holly, Art Evans, Ossie Davis, Bill Nunn, James Bond III","Comedies, Dramas"
Scooby-Doo on Zombie Island,"Scott Innes, Billy West, Mary Kay Bergman, Frank Welker, B.J. Ward, Adrienne Barbeau, Tara Strong, Cam Clarke, Mark Hamill",Children & Family Movies
Scott Pilgrim vs. the World,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Mark Webber, Mae Whitman, Johnny Simmons, Ellen Wong","Action & Adventure, Comedies, Cult Movies"
Scream 2,"Neve Campbell, David Arquette, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Elise Neal, Jerry O'Connell, Timothy Olyphant, Jada Pinkett Smith, Liev Schreiber, Lewis Arquette, Duane Martin, Rebecca Gayheart, Portia de Rossi, Omar Epps, Tori Spelling, Heather Graham, Joshua Jackson, Luke Wilson",Horror Movies
Scream 3,"David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Lance Henriksen, Matt Keeslar, Jenny McCarthy, Emily Mortimer, Parker Posey, Deon Richmond, Kelly Rutherford, Liev Schreiber, Patrick Warburton, Jamie Kennedy",Horror Movies
Seal Team Six: The Raid on Osama Bin Laden,"Cam Gigandet, Anson Mount, Freddy Rodríguez, Xzibit, Kathleen Robertson, Robert Knepper, Eddie Kaye Thomas, Kenneth Miller, William Fichtner, Jenny Gabrielle, Mo Gallini",Action & Adventure
Searching for Bobby Fischer,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne, William H. Macy, Laura Linney, David Paymer, Michael Nirenberg, Robert Stephens","Children & Family Movies, Classic Movies, Dramas"
Searching for Sugar Man,Rodriguez,"Documentaries, International Movies, Music & Musicals"
Season of the Witch,"Nicolas Cage, Ron Perlman, Christopher Lee, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Claire Foy, Robert Sheehan, Kevin Rees, Andrew Hefler","Action & Adventure, Sci-Fi & Fantasy"
Secret,"Jay Chou, Lun-Mei Kwai, Anthony Wong Chau-Sang, Kai-xuan Tseng, Devon Song, Jun Lang Huang, Zhan Yuhao","Dramas, International Movies, Music & Musicals"
Secret Affair,"Hee-ae Kim, Ah-in Yoo, Hye-jin Shim, Hyuk-kwon Park, Hye-eun Kim, Soo-jin Kyung, Yong-gun Kim, Chang-wan Kim, Tae-hwan Choi, Kan-hie Lee","International TV Shows, Korean TV Shows, Romantic TV Shows"
Secret in Their Eyes,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Michael Kelly, Joe Cole, Zoe Graham, Alfred Molina","Dramas, Thrillers"
Secrets of Althorp - The Spencers,Samuel West,"Documentaries, International Movies"
Secrets of Chatsworth,Samuel West,"Documentaries, International Movies"
Secrets of Henry VIII's Palace: Hampton Court,Samuel West,"Documentaries, International Movies"
Secrets of Her Majesty's Secret Service,Samuel West,"Documentaries, International Movies"
Secrets of Highclere Castle,Samuel West,"Documentaries, International Movies"
Secrets of Scotland Yard,Samuel West,Documentaries
Secrets of Selfridges,Samuel West,Documentaries
Secrets of the Tower of London,Samuel West,Documentaries
Secrets of Underground London,Samuel West,"Documentaries, International Movies"
Secrets of Westminster,Samuel West,"Documentaries, International Movies"
Sen Kimsin?,"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder","Comedies, International Movies"
Senna,"Ayrton Senna, Alain Prost, Frank Williams","Documentaries, International Movies, Sports Movies"
Sensitive Skin,"Kim Cattrall, Don McKellar, Nicolas Wright, Joanna Gleason, Colm Feore, Clé Bennett, Bob Martin, Elliott Gould",TV Comedies
"Septiembre, un llanto en silencio","Saúl Lisazo, Mario Zaragoza, Juan Pablo Olyslager, Costanza Andrade","Dramas, Independent Movies, International Movies"
Servant of the People,"Vladimir Zelenskiy, Natalya Sumskaya, Viktor Saraykin, Stanislav Boklan, Ekaterina Kisten, Anna Koshmal, Yelena Kravets, Aleksandr Pikalov, Evgeniy Koshevoy, Yuri Krapov","International TV Shows, TV Comedies"
Set Up,"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",Action & Adventure
Sex and the City 2,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis, Chris Noth, John Corbett, David Eigenberg, Evan Handler, Jason Lewis, Willie Garson, Mario Cantone","Comedies, Dramas, Romantic Movies"
Sex and the City: The Movie,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Candice Bergen, Jennifer Hudson, David Eigenberg, Evan Handler, Jason Lewis, Mario Cantone, Lynn Cohen","Comedies, Dramas, Romantic Movies"
Sex Doll,"Hafsia Herzi, Ash Stymest, Karole Rocher, Paul Hamy, Ira Max, Lindsay Karamoh, Myriam Djeljeli","Dramas, International Movies, Romantic Movies"
"Sexo, Pudor y Lagrimas","Demián Bichir, Susana Zabaleta, Jorge Salinas, Cecilia Suárez, Victor Huggo Martin, Mónica Dionne, Angélica Aragón, Laura Almela","Comedies, Dramas, International Movies"
SGT. Will Gardner,"Max Martini, Omari Hardwick, Lily Rabe, Elisabeth Röhm, Robert Patrick, Dermot Mulroney, Gary Sinise, JoBeth Williams, Luis Bordonada, Leo Martini",Dramas
Shadow of Truth,,"Crime TV Shows, Docuseries, International TV Shows"
Shahanpan Dega Deva,"Bharat Jadhav, Ankush Chaudhari, Siddarth Jadhav, Santosh Juvekar, Vaibhav Mangale, Kranti Redkar, Manava Naik","Comedies, International Movies"
Shaka Zulu,"Edward Fox, Robert Powell, Trevor Howard, Fiona Fullerton, Christopher Lee, Henry Cele, Dudu Mkhize, Roy Dotrice, Gordon Jackson, Kenneth Griffith, Conrad Magwaza, Patrick Ndlovu, Roland Mqwebu, Gugu Nxumalo, Tu Nokwe",TV Dramas
Shakti: The Power,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shah Rukh Khan, Deepti Naval, Vijay Raaz, Tiku Talsania, Jaspal Bhatti, Divya Dutta, Prakash Raj","Dramas, International Movies, Thrillers"
Shanghai,"Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin, Supriya Pathak, Tillotama Shome, Anant Jog, Pitobash, Farooq Shaikh, Arvind Goswami","Dramas, Independent Movies, International Movies"
Shararat,"Abhishek Bachchan, Hrishitaa Bhatt, Amrish Puri, Mohnish Bahl, Helen, Om Puri, Ashish Vidyarthi, A.K. Hangal, Tinnu Anand, Daisy Irani, Dara Singh, Viju Khote, Shubha Khote","Comedies, International Movies, Music & Musicals"
Shark Busters,"Danny Lee, Hui Siu-Hung, Lam Suet, Alfred Cheung, Brian Ireland, Ken Lo, Lai Suk-Yin, Yeung Tin-King, Fung Hak-On, Jamie Luk","Dramas, International Movies"
Shark Night,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee, Donal Logue, Joshua Leonard, Sinqua Walls, Chris Zylka, Alyssa Diaz, Joel David Moore",Horror Movies
Shaurya: It Takes Courage to Make Right... Right,"Rahul Bose, Javed Jaffrey, Minissha Lamba, Seema Biswas, Deepak Dobriyal, Kay Kay Menon, Amrita Rao, Rosa Catalano, Subrat Dutta, Priyesh Kaushik","Dramas, International Movies"
She Did That,"Luvvie Ajayi, Renae Bluitt, Melissa Butler, Lisa Price, Tonya Rapley",Documentaries
Shelter,"Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry, Brooklynn Proulx, Brian Anthony Wilson, Joyce Feurring, Steven Rishard, Charles Techman","Horror Movies, Thrillers"
Sherlock,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Andrew Scott","British TV Shows, Crime TV Shows, International TV Shows"
Sherlock Holmes,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, James Fox, Hans Matheson","Action & Adventure, Comedies"
Shiva,"Nagarjuna Akkineni, Amala, Rajendranath Zutshi, Raghuvaran, Paresh Rawal, Brij Gopal, J.D. Chakravarthi, Tanikella Bharani","Action & Adventure, Dramas, International Movies"
Shopkins: Chef Club,"Erika Harlacher, Marieve Herington, David Lodge, Cassandra Morris, Kate Murphy, Abby Trott",Movies
Shopkins: Wild,"Kate Murphy, Cassandra Morris, Kayli Mills, Abby Trott, Brianna Plantano, Laura Stahl, Philece Sampler",Movies
Shopkins: World Vacation,"Kate Murphy, Cassandra Morris, Erika Harlacher, Abby Trott, Brianna Plantano, Reba Buhr, Doug Erholtz, Cherami Leigh, Brianna Knickerbocker",Movies
Shorgul,"Ashutosh Rana, Jimmy Shergill, Suha Gezen, Sanjay Suri, Narendra Jha, Hiten Tejwani, Eijaz Khan, Aniruddha Dave","Dramas, International Movies"
Short Term 12,"Brie Larson, John Gallagher Jr., Kaitlyn Dever, Rami Malek, Lakeith Stanfield, Kevin Hernandez, Melora Walters, Stephanie Beatriz, Lydia Du Veaux, Alex Calloway, Frantz Turner","Dramas, Independent Movies"
Shorts,"Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon, Devon Gearhart, Jolie Vanier, Rebel Rodriguez, Leo Howard, Leslie Mann, Jon Cryer, William H. Macy, James Spader","Children & Family Movies, Comedies"
SHOT! The Psycho-Spiritual Mantra of Rock,Mick Rock,"Documentaries, Music & Musicals"
Shuddhi,"Lauren Spartano, Niveditha, Amrutha Karagada, Shashank Purushotham, Sidhartha Maadhyamika, Ajay Raj, Sanchari Vijay, Veena Sundar","Dramas, International Movies, Thrillers"
Shutter,"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr","Horror Movies, International Movies"
Sicilian Ghost Story,"Julia Jedlikowska, Gaetano Fernandez, Corinne Musallari, Lorenzo Curcio, Andrea Falzone, Federico Finocchiaro, Vincenzo Amato, Sabine Timoteo","Dramas, International Movies, Thrillers"
Sid the Science Kid,"Drew Massey, Julianne Buescher, Victor Yerrid, Alice Dinnean, Donna Kimball, John Munro Cameron, Kristin Charney",Kids' TV
Siddhant,"Vikram Gokhale, Swati Chitnis, Kishore Kadam, Ganesh Yadav, Sarang Sathaye, Archit Deodhar, Madhavi Soman, Neha Mahajan","Dramas, Independent Movies, International Movies"
Silencer,"Johnny Messner, Danny Trejo, Tito Ortiz, Chuck Liddell, Robert LaSardo, Nikki Leigh, Kai Scarlett Williams, Marlene Marquez","Action & Adventure, Independent Movies"
Silent Hill: Revelation,"Deborah Kara Unger, Adelaide Clemens, Sean Bean, Malcolm McDowell, Carrie-Anne Moss, Radha Mitchell, Martin Donovan, Kit Harington",Horror Movies
Silicon Cowboys,,Documentaries
Silver Spoon,"Pavel Priluchnyy, Karina Razumovskaya, Dmitry Shevchenko, Denis Shvedov, Alexander Oblasov, Igor Zhizhikin, Bogdan Stypka, Alexander Dyachenko","Crime TV Shows, International TV Shows, TV Action & Adventure"
Sin senos no hay paraíso,"Carmen Villalobos, Catherine Siachoque, María Fernanda Yépez, Ramiro Meneses, Juan Diego Sánchez, Aylín Mujica, Fabián Ríos, Roberto Mateos","International TV Shows, Spanish-Language TV Shows, TV Dramas"
Sin Senos sí Hay Paraíso,"Majida Issa, Fabián Ríos, Catherine Siachoque, Carolina Gaitán, Juan Pablo Urrego, Francisco Bolívar, Johanna Fadul, Jennifer Arenas, Luigi Aycardi, Juan Pablo Llano, César Mora, Julián Beltrán, Stefanía Gómez, Diana Acevedo, Joselyn Gallardo, Jairo Ordoñez, Oscar Salazar, Gregorio Pernía, Carolina Sepúlveda","International TV Shows, Spanish-Language TV Shows, TV Dramas"
Singh Saab the Great,"Sunny Deol, Urvashi Rautela, Prakash Raj, Amrita Rao, Anjali Abrol, Johnny Lever, Sanjay Mishra, Yashpal Sharma, Manoj Pahwa, Raj Premi","Action & Adventure, Dramas, International Movies"
Single,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes","Comedies, International Movies, Romantic Movies"
Singularity,"Julian Schaffner, John Cusack, Jeannine Wacker, Carmen Argenziano, Eileen Grubba, Pavlo Bubryak","Action & Adventure, Dramas, Sci-Fi & Fantasy"
Sinister Circle,"Milene Vázquez, Matías Raygada, Claudia Dammert, Marcello Rivera, Atilia Boschetti, Hernán Romero, Ismael Contreras, Pietro Sibille, Leslie Shaw","Horror Movies, International Movies"
Siren,"Chase Williamson, Hannah Fierman, Justin Welborn, Hayes Mercure, Michael Aaron Milligan, Brittany S. Hall, Randy McDowell, Lindsey Garrett, William Mark McCullough, Patrick Wood",Horror Movies
Sister Code,"Drew Sidora, Eva Marcille, Amber Rose, Marcus T. Paulk, Erica Ash, Essence Atkins, Amin Joseph, Rolonda Watts, Brooklyn McLinn, Don Hale Jr., Duane Martin, Anne-Marie Johnson","Comedies, Dramas, Romantic Movies"
Skin Trade,"Dolph Lundgren, Tony Jaa, Ron Perlman, Celina Jade, Peter Weller, Michael Jai White, Sahajak Boonthanakit, Mike Dopud",Action & Adventure
Skin Wars,"Rebecca Romijn, RuPaul, Robin Slonina, Craig Tracy",Reality TV
Skin Wars: Fresh Paint,RuPaul,Reality TV
Skiptrace,"Jackie Chan, Johnny Knoxville, Fan Bingbing, Eric Tsang, Eve Torres, Winston Chao","Action & Adventure, Comedies"
Sky on Fire,"Daniel Wu, Joseph Chang, Amber Kuo, Zhang Jingchu, Ruoyun Zhang","Action & Adventure, International Movies"
Skydancers,,"Documentaries, Sports Movies"
Skyline,"Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, Neil Hopkins, David Zayas, Donald Faison, Robin Gammell, Tanya Newbould, J. Paul Boehmer","Action & Adventure, Sci-Fi & Fantasy"
Sleeping with Other People,"Jason Sudeikis, Alison Brie, Adam Scott, Jason Mantzoukas, Natasha Lyonne, Adam Brody, Amanda Peet","Comedies, Dramas, Independent Movies"
Sleepover,"Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington, Sara Paxton, Brie Larson, Scout Taylor-Compton, Douglas Smith, Katija Pevec, Steve Carell, Jeff Garlin","Comedies, Romantic Movies"
Sling Blade,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe","Dramas, Independent Movies"
Sliver,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis",Thrillers
Slobby's World,Robert Hall,Reality TV
Slow West,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn, Caren Pistorius, Rory McCann, Andrew Robertt, Edwin Wright, Kalani Queypo","Action & Adventure, Dramas, International Movies"
Small Soldiers,"Kirsten Dunst, Gregory Smith, Jay Mohr, Phil Hartman, Kevin Dunn, Denis Leary, Frank Langella, Tommy Lee Jones, Ernest Borgnine","Action & Adventure, Comedies, Sci-Fi & Fantasy"
Smart People,"Dennis Quaid, Sarah Jessica Parker, Thomas Haden Church, Ellen Page, Ashton Holmes, Christine Lahti, Camille Mana, David Denman, Don Wadsworth, Robert Haley","Comedies, Dramas, Independent Movies"
Smash: Motorized Mayhem,,"Documentaries, Sports Movies"
SMOSH: The Movie,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin",Comedies
Sniper: Special Ops,"Steven Seagal, Rob Van Dam, Tim Abell, Charlene Amoia, Daniel Booko, Jason-Shane Scott, Anthony Batarse, Gerald Webb","Action & Adventure, Dramas"
Socha Na Tha,"Abhay Deol, Ayesha Takia, Apoorva Jha, Ayesha Jhulka, Rati Agnihotri, Sandhya Mridul, Suresh Oberoi, Manish Chaudhary","Comedies, International Movies, Romantic Movies"
Social Animals,,Documentaries
Soekarno,"Ario Bayu, Lukman Sardi, Maudy Koesnaedi, Tanta Ginting, Tika Bravani, Emir Mahira, Sujiwo Tedjo, Ayu Laksmi, Matias Muchus","Dramas, International Movies"
Solo Con Tu Pareja,"Luis de Icaza, Dobrina Liubomirova, Isabel Benet, Claudia Fernandez, Luz María Jerez, Claudia Ramírez, Astrid Hadad, Toshiro Hisaki, Daniel Giménez Cacho, Carlos Nakasone, Ricardo Dalmacci, Nevil Wilton, John Keyser, Raúl Valerio, Monserrat Ontiveros, Daniel Gimenez Cacho","Comedies, Independent Movies, International Movies"
Solo: A Star Wars Story,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany","Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Solo: A Star Wars Story (Spanish Version),"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany","Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Solomon Kane,"James Purefoy, Pete Postlethwaite, Rachel Hurd-Wood, Alice Krige, Jason Flemyng, Mackenzie Crook, Patrick Hurd-Wood, Max von Sydow","Action & Adventure, International Movies, Sci-Fi & Fantasy"
Some Freaks,"Thomas Mann, Lily Mae Harrington, Ely Henry, Lachlan Buchanan, Marin Ireland, John Thorsen, Stephen Thorne, Shannon Hartman","Dramas, Romantic Movies"
Something's Gotta Give,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin","Comedies, Romantic Movies"
Son of a Gun,"Ewan McGregor, Brenton Thwaites, Alicia Vikander, Jacek Koman, Matt Nable, Tom Budge, Eddie Baroo, Nash Edgerton","Action & Adventure, Dramas, Independent Movies"
Sons of Ben,,"Documentaries, Sports Movies"
Sotus The Series,"Sangpotirat Perawat, Ruangroj Prachaya","International TV Shows, Romantic TV Shows, TV Dramas"
Soul Surfer,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood, Kevin Sorbo, Ross Thomas, Chris Brochu, Lorraine Nicholson, Jeremy Sumpter, Sonya Balmores, Craig T. Nelson, Mark Kubr, Kim Morgan Greene, Titus Kinimaka, Branscombe Richmond, Sonya Balmores Chung, Kimberly-Rose Wolter, John Philbin, David Chokachi, Wesley Mann","Dramas, Faith & Spirituality, Sports Movies"
Soul to Keep,"Sandra Mae Frank, Aurora Heimbach, Craig Fogel, Tony Spitz, Jordan Theodore, Kate Rose Reynolds, Jessie Jordan, Derek Long, Sophia Getz, Amelia Sheeler","Horror Movies, Independent Movies"
Sour Grapes,,Documentaries
Space Racers,"Yuri Lowenthal, Meyer DeLeeuw, Johnny Yong Bosch, Phil Lollar, Alicyn Packard, Melissa Hutchison, Joseph J. Terry, Danny Katiana, Katie Leigh",Kids' TV
Sparkle,"Tony King, Mary Alice, Irene Cara, Dorian Harewood, Paul Lambert, Beatrice Winde, Lonette McKee","Dramas, Music & Musicals"
Spartacus,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel","TV Action & Adventure, TV Dramas"
Speech & Debate,"Liam James, Sarah Steele, Austin McKenzie, Roger Bart, Janeane Garofalo, Wendi McLendon-Covey, Kal Penn, Kimberly Williams-Paisley, Skylar Astin, Edgar Arreola, Sarah Baker","Comedies, Dramas, Independent Movies"
Speed Is My Need,,"Documentaries, Sports Movies"
Spider-Man 3,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks","Action & Adventure, Sci-Fi & Fantasy"
Spider-Man: Into the Spider-Verse,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Mahershala Ali, Lily Tomlin, Kathryn Hahn, Liev Schreiber, Kimiko Glenn, Nicolas Cage, John Mulaney","Action & Adventure, Comedies"
Spitfire: The Plane that Saved the World,Charles Dance,Documentaries
Splash and Bubbles,"John Tartaglia, Leslie Carrara-Rudolph, Raymond Carr, Aymee Garcia",Kids' TV
Spotlight,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery, Brian d'Arcy James, Stanley Tucci, Billy Crudup, Paul Guilfoyle, Jamey Sheridan","Dramas, Independent Movies"
Spring Breakers,"James Franco, Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine, Jeff Jarrett, Gucci Mane, Heather Morris, Ash Lendzion, Emma Holzer","Comedies, Cult Movies, Dramas"
Sprinter,"Dale Elliott, Kadeem Wilson, Dennis Titus, David Alan Grier, Shantol Jackson, Lorraine Toussaint, Bryshere Gray, Quera South, Aiden Moodie","Dramas, International Movies, Sports Movies"
Spy Kids,"Antonio Banderas, Carla Gugino, Alan Cumming, Teri Hatcher, Cheech Marin, Danny Trejo, Robert Patrick, Tony Shalhoub, Alexa PenaVega, Daryl Sabara","Children & Family Movies, Comedies"
Spy Kids 2: The Island of Lost Dreams,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara, Steve Buscemi, Mike Judge, Danny Trejo, Cheech Marin, Matt O'Leary, Emily Osment, Ricardo Montalban, Holland Taylor, Alan Cumming","Children & Family Movies, Comedies"
Spy Kids 3: Game Over,"Daryl Sabara, Sylvester Stallone, Ricardo Montalban, Alexa PenaVega","Children & Family Movies, Comedies"
Spy Time,"Imanol Arias, Quim Gutiérrez, Alexandra Jiménez, Berto Romero, Carlos Areces, Eduardo Gómez, Dani El Rojo, Emilio Gutiérrez Caba, Rossy de Palma, Sílvia Abril","Action & Adventure, Comedies, International Movies"
St. Agatha,"Sabrina Kern, Carolyn Hennesy, Courtney Halverson, Shaun Fletcher, Lindsay Seim, Hannah Fierman, Trin Miller, Seth Michaels, Justin Miles","Horror Movies, Independent Movies"
Staged Killer,"Chrishell Hartley, Jason Dolley, Darrin Dewitt Henson, Nicole Bilderback, Charlie O'Connell, Chasty Ballesteros, Lyman Chen, Declan Joyce, Frank Rossi, Josh Nuncio",Thrillers
Standoff,"Thomas Jane, Laurence Fishburne, Joanna Douglas, John Tench, Ted Atherton, Jim Watson, Ella Ballentine",Action & Adventure
Star Men,,Documentaries
Star Wars: Episode VIII: The Last Jedi,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Frank Oz, Benicio Del Toro, Warwick Davis, Noah Segan, Jimmy Vee, Joonas Suotamo, Joseph Gordon-Levitt, Tim Rose, Paul Kasey, Matthew Sharp, Adrian Edmondson, Amanda Lawrence, Justin Theroux","Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Star-Crossed,"Aimee Teegarden, Matt Lanter, Grey Damon, Malese Jow, Greg Finley, Natalie Hall, Titus Makin Jr., Chelsea Gilligan","Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Starred Up,"Jack O'Connell, Ben Mendelsohn, Rupert Friend, Sam Spruell, Anthony Welsh, David Ajala, Peter Ferdinando, Gershwyn Eustache Jnr, Ashley Chin, Raphael Sowole, Gilly Gilchrist, Tommy McDonnell","Dramas, Independent Movies, International Movies"
Station Horizon,"Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron","International TV Shows, TV Comedies, TV Dramas"
Stealing History,Nicolas Hope,"Documentaries, International Movies"
Step Brothers,"Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Andrea Savage, Lurie Poston, Elizabeth Yozamp, Logan Manus, Rob Riggle",Comedies
Step Outside,"Kareem Mahmoud Abdel Aziz, Khaled El Sawy, Ahmed Fathy, Malak Koura, Ashraf Abdel Baqi","Comedies, International Movies"
Stephanie,"Shree Cooks, Frank Grillo, Anna Torv",Horror Movies
Sthaniya Sambaad,Suman Mukhopadhyay,"Dramas, International Movies"
Still,"Mai Charoenpura, Akara Amarttayakul, Supakson Chaimongkol, Kachapa Toncharoen, Wiradit Srimalai, Vasana Chalakorn, Ratchanont Sukpragawp, Arisara Thongborisut","Horror Movies, International Movies"
Stink!,Jeffrey Hollender,Documentaries
Stoked,"Terry McGurrin, Katie Crown, Kristin Fairlie, Mazin Elsadig, Anastasia Phillips, Arnold Pinnock, Jamie Spilchuk, Lauren Lipson, Fiona Reid, Jeff Geddis",Kids' TV
Stone Age,"Samantha Moon, Nancy Kim, Jacqueline Youn, Mike Yantzi, Anna Paik, Matt Anipen, Josh Schwartzentruber","Kids' TV, Korean TV Shows"
Stonehearst Asylum,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley","Horror Movies, Thrillers"
Stop at Nothing: The Lance Armstrong Story,,"Documentaries, International Movies, Sports Movies"
Storage Wars: Northern Treasures,"Ursula Stolf, Paul Kenny, Bogart Kenny, Roy Dirnbeck, Don Reinhart, Rick Coffill, Cindy Hayden","International TV Shows, Reality TV"
Story of an Egg,"Raj B. Shetty, Usha Bhandary, Shailashree, Prakash Tuminadu, Amrutha Naik, Shreya Anchan, VJ Vineeth, Rahul Amin, Deepak Rai Panaje, Ramdas","Comedies, International Movies, Romantic Movies"
Straight Up,"James Sweeney, Katie Findlay, Randall Park, Hillary Anne Matthews, James Scully, Betsy Brandt","Comedies, Independent Movies, LGBTQ Movies"
